,name,price_per_night,rating_overall,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,num_listing_reviews,num_host_ratings,host_response_rate,host_joined_months_ago,num_guests,num_bedrooms,num_beds,num_baths,superhost,borough,property_type,wifi,air_conditioning,heating,kitchen
582,High Floor River View w/ King Bed Hotel Room,279,4.81,4.8,4.7,4.9,4.8,4.9,4.8,63,2740,99,10,2,1,1,1.0,1,brooklyn,hotel,1,1,1,0
583,Artist Ft Greene Brownstone - vaccinated host,119,4.95,5.0,5.0,5.0,5.0,4.9,4.8,102,270,100,74,2,1,2,1.5,0,brooklyn,private room,1,1,1,1
584,Large room with a private roof in Park Slope!,73,4.5,4.5,4.8,5.0,5.0,5.0,4.5,4,52,92,28,2,1,1,1.0,0,brooklyn,private room,1,1,1,0
585,Luxury  suite.,104,4.73,4.8,4.8,4.8,4.7,4.8,4.7,507,650,98,72,2,1,1,1.5,1,brooklyn,condo,1,1,1,0
586,Neon studio in Chinatown,169,5.0,4.9,4.9,4.8,4.8,4.9,4.7,14,14,100,83,3,0,2,1.0,1,brooklyn,apartment,1,1,1,1
587,Nice Room 1 block away from Times Square action!,177,4.26,4.3,4.4,4.4,4.9,4.6,4.1,95,1315,88,30,2,1,1,1.0,0,brooklyn,hotel,1,1,1,0
588,Williamsburg Gem With Private Patio!,375,4.75,4.6,4.8,4.8,4.8,4.9,4.8,232,234,100,105,6,2,3,1.0,1,brooklyn,apartment,1,1,1,1
589,Magnificent & Bright Apartment in Brooklyn,480,4.75,4.8,4.8,4.8,4.2,4.5,4.5,4,508,98,57,7,3,3,2.0,0,brooklyn,condo,1,1,1,1
590,THE LOUVRE MEETS THE HEART OF THE EAST VILLAGE,300,4.91,5.0,4.9,4.9,5.0,4.9,4.9,151,151,89,34,2,1,2,1.0,1,brooklyn,apartment,1,1,1,1
591,Private 2 bedroom apartment with outdoor space ..,250,4.95,4.9,5.0,5.0,4.9,5.0,4.8,44,44,100,46,5,2,3,1.0,1,brooklyn,apartment,1,1,1,0
592,Vibrant Spacious Artists Creative Apt in Brooklyn!,117,4.83,4.8,4.8,4.8,4.7,4.7,5.0,6,22,100,96,2,1,1,1.0,0,brooklyn,apartment,1,1,1,1
593,Frequently cleaned room in historic brownstone,88,4.88,4.8,4.9,5.0,4.7,5.0,4.8,209,629,100,155,2,1,1,1.5,1,brooklyn,private room,1,1,1,1
594,Coozy Studio for one or two in Crown Heights,125,4.56,4.5,4.7,4.8,4.6,4.9,4.6,318,318,80,91,2,1,1,1.0,0,brooklyn,house,1,1,1,1
595,"(C) Private Bedroom, Sharing is Caring",50,4.76,4.8,4.9,4.9,4.7,4.9,4.8,33,141,100,11,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
596,Brooklyn’s Finest- (Heart Of Fort Greene 2 ),250,4.7,4.8,4.8,5.0,4.5,4.9,4.6,70,114,100,37,5,2,3,1.0,0,brooklyn,apartment,1,1,1,1
597,Large & Unique multi Rooms Loft close to all,165,4.97,4.7,4.9,5.0,5.0,5.0,4.8,67,67,100,78,5,2,3,1.0,1,brooklyn,loft,1,1,1,1
598,☆Bohemian Brownstone Retreat at a Great Location☆,78,4.85,4.8,4.9,4.7,4.8,4.8,4.9,27,307,96,19,2,1,1,1.0,0,brooklyn,private room,1,0,1,1
599,Pet & Tony's Residence,112,4.92,5.0,5.0,5.0,4.8,5.0,4.9,425,425,100,47,4,0,2,1.0,1,brooklyn,house,1,1,1,1
600,Artistic Garden Sanctuary,145,4.87,4.7,4.9,5.0,4.7,5.0,4.8,39,62,73,92,5,2,3,1.0,0,brooklyn,townhouse,1,1,1,1
601,Gorgeous 2 bedroom in the HEART of Williamsburg!,400,5.0,4.7,5.0,5.0,5.0,5.0,5.0,3,90,100,86,4,2,2,2.0,0,brooklyn,apartment,1,1,1,1
602,NEW! Chic Designer Vanilla,109,4.83,4.7,4.8,4.9,4.8,4.9,4.7,104,239,93,27,2,1,2,1.0,1,brooklyn,private room,1,1,1,1
603,Couples Getaway in Brooklyn!,125,4.8,4.8,4.9,5.0,4.7,4.9,4.8,356,356,100,55,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
604,Entire Apartment- Pre-War -One Min Walk From Train,114,4.43,4.7,4.4,4.4,4.6,4.1,3.9,7,159,100,52,3,1,1,1.0,0,brooklyn,apartment,1,1,1,1
